Highs,7,1.0,0.001329075,
Custom,7,1.0,0.027259093,139
Highs,7,1.0,0.000503612,
Custom,7,1.0,0.029655779,139
Highs,7,1.0,0.000760811,
Custom,7,1.0,0.034763401,139
Highs,7,1.0,0.000714095,
Custom,7,1.0,0.027212897,139
Highs,7,1.0,0.000484585,
Custom,7,1.0,0.027983995,139
Highs,7,1.0,0.000506539,
Custom,7,1.0,0.027038698,139
Highs,7,1.0,0.000506757,
Custom,7,1.0,0.028183082,139
Highs,7,1.0,0.000488923,
Custom,7,1.0,0.027431249,139
Highs,7,1.0,0.000653418,
Custom,7,1.0,0.027045911,139
Highs,7,1.0,0.000627116,
Custom,7,1.0,0.027219798,139
Highs,7,1.0,0.000614061,
Custom,7,1.0,0.03537271,139
Highs,7,1.0,0.000730352,
Custom,7,1.0,0.034338729,139
Highs,7,1.0,0.000495243,
Custom,7,1.0,0.026917489,139
Highs,7,1.0,0.000491285,
Custom,7,1.0,0.027215506,139
Highs,7,1.0,0.000540589,
Custom,7,1.0,0.026891421,139
Highs,7,1.0,0.000683915,
Custom,7,1.0,0.02754742,139
Highs,7,1.0,0.000617343,
Custom,7,1.0,0.028768185,139
Highs,7,1.0,0.000716072,
Custom,7,1.0,0.037928777,139
Highs,7,1.0,0.003405983,
Custom,7,1.0,0.030668169,139
Highs,7,1.0,0.000671477,
Custom,7,1.0,0.028342323,139
Highs,7,1.0,0.000660426,
Custom,7,1.0,0.028593878,139
Highs,7,1.0,0.000692893,
Custom,7,1.0,0.028608614,139
Highs,7,1.0,0.000684603,
Custom,7,1.0,0.034552559,139
Highs,7,1.0,0.00072414,
Custom,7,1.0,0.028679306,139
Highs,7,1.0,0.00068628,
Custom,7,1.0,0.026905978,139
Highs,9,1.0,0.000577382,
Custom,9,1.0,0.103887005,503
Highs,9,1.0,0.000766716,
Custom,9,1.0,0.114215445,503
Highs,9,1.0,0.000747098,
Custom,9,1.0,0.121042961,503
Highs,9,1.0,0.000496593,
Custom,9,1.0,0.112269613,503
Highs,9,1.0,0.000519558,
Custom,9,1.0,0.113193767,503
Highs,9,1.0,0.000837952,
Custom,9,1.0,0.101986785,503
Highs,9,1.0,0.000725123,
